order_id,product_name,category,warehouse,supplier,quantity,unit_price,order_date,shipment_date,delivery_date,destination_city,transport_mode,status
1000,Router,Electronics,,Samsung,,99999,2024-02-20,2024-02-23,2024-02-28,Monastir,Air,shipping
1001,Mouse,Office Supplies,Nabeul_WH4,Dell,16.0,60,2024-02-25,2024-02-25,2024-02-29,Bizerte, Sea ,Delivered
1002,chair,Furniture,Tunis_WH1,HP,,-100,2024-01-14,2024-01-14,2024-01-16,SFAX,Road,Pending
1003,Desk,Furniture,Nabeul_WH4,Logitech,4.0,0,2024-01-15,2024-01-15,2024-01-21,bizerte,AIR,delivered
1004,Keyboard,Office Supplies,Sfax_WH2,Huawei,20.0,99999,2024-01-06,2024-01-06,2024-01-12, Tunis ,sea,Pending
1005, Monitor ,Electronics,,Cisco,,99999,2024-02-28,2024-02-03,2024-03-06,sfax,Road,done
1006,Desk,Furniture,Sousse_WH3,Logitech,19.0,0,2024-06-01,2024-01-07,2024-01-08,Sfax,Sea,delivered
1007,router,Electronics,Nabeul_WH4,Huawei,1.0,-100,2024-01-24,2024-01-25,2024-01-28, Sousse , Air ,In Transit
1008,Mouse,Office Supplies,Sousse_WH3,Cisco,12.0,60,2024-01-13,2024-01-15,2024-01-19,Monastir,Sea,shipping
1009,mouse,Office Supplies,Sfax_WH2,Dell,13.0,0,2024-02-12,2024-02-15,2024-02-20,tunis, Sea ,Pending
1010,Printer,Office Supplies,Nabeul_WH4,Logitech,15.0,700,2024-10-01,2024-10-01,2024-01-14,Sfax,Sea,Pending
1011,Tablet,Electronics,,Ikea,17.0,-100,2024-02-17,2024-02-17,2024-02-21,Bizerte, Air ,shipping
1012,Router,Electronics,Nabeul_WH4,Ikea,,300,2024-01-31,2024-01-31,2024-05-02,tunis,road,shipping
1013,Chair,Furniture,Tunis_WH1,Cisco,,0,2024-02-24,2024-02-27,2024-02-29,monastir,Road,delivered
1014,Monitor,Electronics,Tunis_WH1,Huawei,,0,2024-01-20,2024-01-20,2024-01-25,Sousse,ROAD,delivered
1015, Keyboard ,Office Supplies,Tunis_WH1,Huawei,10.0,0,2024-01-23,2024-01-23,2024-01-29, Sousse ,Sea,Delivered
1016,Mouse,Office Supplies,Sousse_WH3,Cisco,,99999,2024-01-26,2024-01-26,2024-01-29, Monastir ,AIR,In Transit
1017,Desk,Furniture,Sfax_WH2,HP,16.0,400,2024-01-30,2024-02-02,2024-02-04,Sousse,air,shipping
1018,chair,Furniture,Tunis_WH1,Ikea,19.0,150,2024-02-21,2024-02-21,2024-02-26,Tunis, Sea ,delivered
1019,MONITOR,Electronics,Tunis_WH1,Dell,12.0,800,2024-03-01,2024-03-01,2024-03-05,Nabeul,air,done
1020,Phone,Electronics,,Samsung,13.0,1200,2024-02-02,2024-05-02,2024-08-02,Sfax,Air,Delivered
1021,Chair,Furniture,Sfax_WH2,Logitech,,150,2024-01-26,2024-01-26,2024-01-31,monastir, Sea ,shipping
1022,Phone,Electronics,Sousse_WH3,Logitech,15.0,99999,2024-02-19,2024-02-19,2024-02-25,SOUSSE,AIR,delivered
1023, Phone ,Electronics,Sfax_WH2,Dell,19.0,99999,2024-01-06,2024-01-07,2024-11-01, Gabes ,Sea,delivered
1024,desk,Furniture,,HP,16.0,400,2024-02-14,2024-02-14,2024-02-18,BIZERTE,sea,delivered
1025,Desk,Furniture,Sousse_WH3,Dell,18.0,99999,2024-02-06,2024-02-06,2024-02-08,Sfax,road,shipping
1026,LAPTOP,Electronics,,Dell,17.0,2500,2024-01-26,2024-01-29,2024-02-03, Monastir ,Sea,delivered
1027, Phone ,Electronics,,Cisco,20.0,0,2024-02-18,2024-02-19,2024-02-20,bizerte, Air ,done
1028,Mouse,Office Supplies,,Samsung,19.0,60,2024-01-29,2024-01-29,2024-01-02,SFAX,Sea,done
1029,PHONE,Electronics,Tunis_WH1,Dell,17.0,0,2024-02-05,2024-02-07,2024-02-08,Sousse,ROAD,In Transit
1030, Tablet ,Electronics,,Ikea,2.0,99999,2024-01-28,2024-01-31,2024-02-01,Gabes,Road,done
1031,Mouse,Office Supplies,,Logitech,,99999,2024-01-29,2024-01-29,2024-04-02,Gabes,road,In Transit
1032, Mouse ,Office Supplies,,Samsung,2.0,60,2024-02-02,2024-02-03,2024-02-04,SFAX,air,done
1033, Chair ,Furniture,Sfax_WH2,Huawei,12.0,150,2024-01-09,2024-01-09,2024-01-17,sousse,Air,shipping
1034,router,Electronics,Sousse_WH3,Ikea,13.0,0,2024-01-28,2024-01-28,2024-02-03,Bizerte,air,done
1035,keyboard,Office Supplies,,Huawei,7.0,100,2024-01-06,2024-01-06,2024-01-12,TUNIS,Sea,In Transit
1036,desk,Furniture,Sousse_WH3,Huawei,17.0,-100,2024-10-02,2024-10-02,2024-02-15, Gabes ,Air,Pending
1037,Tablet,Electronics,Tunis_WH1,Huawei,8.0,99999,2024-01-21,2024-01-21,2024-01-27,TUNIS,Road,Delivered
1038, Mouse ,Office Supplies,Nabeul_WH4,Dell,11.0,0,2024-08-01,2024-11-01,2024-01-16,bizerte, Air ,shipping
1039,printer,Office Supplies,Sfax_WH2,Ikea,1.0,700,2024-02-19,2024-02-19,2024-02-23, Tunis ,Road,Delivered
1040,Monitor,Electronics,,Huawei,,0,2024-01-03,2024-01-03,2024-03-03, Gabes ,Road,shipping
1041,Mouse,Office Supplies,Sousse_WH3,Huawei,9.0,-100,2024-01-23,2024-01-23,2024-01-31,Gabes,Air,Delivered
1042,Tablet,Electronics,Sousse_WH3,Cisco,,99999,2024-01-21,2024-01-21,2024-01-25,GABES,sea,delivered
1043,Keyboard,Office Supplies,Tunis_WH1,Logitech,,0,2024-02-07,2024-02-07,2024-11-02,Bizerte,air,delivered
1044,Tablet,Electronics,Sousse_WH3,Dell,,900,2024-01-10,2024-01-12,2024-01-17,Bizerte,air,In Transit
1045, Router ,Electronics,,HP,12.0,-100,2024-01-27,2024-01-30,2024-03-02,Monastir,Road,In Transit
1046,DESK,Furniture,Sfax_WH2,Ikea,3.0,400,2024-01-18,2024-01-18,2024-01-25,Sousse,Road,Pending
1047,Phone,Electronics,Sfax_WH2,Dell,6.0,-100,2024-02-10,2024-02-11,2024-02-12,Gabes,Air,done
1048,DESK,Furniture,,Logitech,17.0,0,2024-05-02,2024-02-07,2024-08-02,Bizerte,Air,Pending
1049, Keyboard ,Office Supplies,Tunis_WH1,HP,1.0,0,2024-02-02,2024-02-02,2024-02-10,GABES,Air,shipping
1050,Laptop,Electronics,,Samsung,,99999,2024-02-15,2024-02-15,2024-02-22,BIZERTE,Sea,Delivered
1051, Router ,Electronics,,Samsung,3.0,300,2024-01-29,2024-01-29,2024-02-04,Sousse, Air ,In Transit
1052, Printer ,Office Supplies,Nabeul_WH4,HP,6.0,-100,2024-03-01,2024-03-02,2024-03-06,Sousse,Air,shipping
1053,Chair,Furniture,Sousse_WH3,Ikea,16.0,150,2024-02-23,2024-02-23,2024-02-27,Sousse,Road,delivered
1054,Laptop,Electronics,,Samsung,,0,2024-02-17,2024-02-17,2024-02-25,Bizerte,SEA,Delivered
1055,KEYBOARD,Office Supplies,Tunis_WH1,Ikea,1.0,99999,2024-02-27,2024-03-01,2024-05-03,Gabes,Road,Pending
1056,Desk,Furniture,,Logitech,,400,2024-01-23,2024-01-24,2024-01-25,NABEUL,road,shipping
1057, Phone ,Electronics,,Huawei,17.0,-100,2024-01-28,2024-01-28,2024-02-01,sfax,Road,Delivered
1058,keyboard,Office Supplies,,HP,13.0,-100,2024-01-01,2024-01-02,2024-01-05,Sousse,road,delivered
1059,MONITOR,Electronics,Sousse_WH3,Dell,15.0,800,2024-02-27,2024-02-27,2024-03-04,BIZERTE,Road,done
1060,Tablet,Electronics,Tunis_WH1,Ikea,7.0,99999,2024-01-23,2024-01-23,2024-01-30,Tunis,Air,shipping
1061, Laptop ,Electronics,Sousse_WH3,Dell,6.0,-100,2024-01-09,2024-01-11,2024-01-15,BIZERTE,Air,shipping
1062, Desk ,Furniture,Nabeul_WH4,Cisco,5.0,0,2024-01-08,2024-10-01,2024-01-14,Sousse,Road,shipping
1063,MONITOR,Electronics,Tunis_WH1,Samsung,5.0,99999,2024-01-09,2024-01-09,2024-01-11,sousse, Sea ,done
1064,Chair,Furniture,Nabeul_WH4,Huawei,1.0,150,2024-04-01,2024-04-01,2024-01-10,Nabeul,Road,delivered
1065,Desk,Furniture,,Huawei,5.0,-100,2024-02-01,2024-02-01,2024-02-06,BIZERTE,SEA,Delivered
1066,Chair,Furniture,Sfax_WH2,Logitech,,150,2024-01-18,2024-01-19,2024-01-22,Sfax,Road,In Transit
1067,PHONE,Electronics,Sfax_WH2,Samsung,19.0,0,2024-02-14,2024-02-14,2024-02-22, Bizerte ,Sea,Delivered
1068,Chair,Furniture,Tunis_WH1,Ikea,7.0,-100,2024-01-08,2024-01-08,2024-01-13, Sfax ,ROAD,shipping
1069,Router,Electronics,,HP,17.0,0,2024-01-13,2024-01-13,2024-01-15,sousse,Sea,delivered
1070,Chair,Furniture,,Dell,17.0,99999,2024-01-15,2024-01-17,2024-01-21,Nabeul, Sea ,shipping
1071,Desk,Furniture,Sousse_WH3,Ikea,14.0,99999,2024-01-08,2024-01-08,2024-01-13,Sfax, Road ,Delivered
1072,tablet,Electronics,Sousse_WH3,Samsung,10.0,0,2024-01-03,2024-01-04,2024-01-05, Nabeul , Road ,delivered
1073,PHONE,Electronics,Nabeul_WH4,Ikea,11.0,1200,2024-01-28,2024-01-28,2024-02-01,SOUSSE,Air,Delivered
1074, Laptop ,Electronics,Sousse_WH3,Ikea,,-100,2024-02-13,2024-02-13,2024-02-18, Bizerte , Sea ,done
1075,ROUTER,Electronics,Sfax_WH2,Huawei,13.0,99999,2024-01-24,2024-01-24,2024-01-28,tunis,Air,shipping
1076,Router,Electronics,Sfax_WH2,Samsung,15.0,300,2024-01-08,2024-01-08,2024-01-14,Tunis,AIR,In Transit
1077,ROUTER,Electronics,Sfax_WH2,Huawei,5.0,-100,2024-01-22,2024-01-22,2024-01-28,Tunis,AIR,shipping
1078, Monitor ,Electronics,Sousse_WH3,Ikea,15.0,800,2024-02-05,2024-02-05,2024-02-11,Bizerte,Sea,delivered
1079,Monitor,Electronics,Tunis_WH1,Samsung,20.0,800,2024-05-01,2024-01-07,2024-01-11,Sousse, Sea ,Delivered
1080,Desk,Furniture,Sfax_WH2,Logitech,13.0,0,2024-01-03,2024-01-03,2024-07-01,Nabeul,sea,shipping
1081, Mouse ,Office Supplies,Nabeul_WH4,Huawei,13.0,0,2024-01-05,2024-01-06,2024-01-10,Nabeul,sea,Pending
1082,Chair,Furniture,Sfax_WH2,Huawei,,0,2024-01-12,2024-01-13,2024-01-15,monastir,sea,Pending
1083,mouse,Office Supplies,Sousse_WH3,Ikea,,60,2024-02-15,2024-02-15,2024-02-23,Sousse,SEA,Pending
